_id,Taxable Year,Zip Code,State,City,County,Returns,California AGI,Total Tax Liability
495,2022,92021,CA,El Cajon,San Diego,"30,156","1,990,730,870","59,371,793"
496,2022,92022,CA,El Cajon,San Diego,345,"26,175,860","910,784"
497,2022,92023,CA,Encinitas,San Diego,817,"97,977,161","6,293,952"
498,2022,92024,CA,Encinitas,San Diego,"24,291","5,148,606,581","306,574,022"
499,2022,92025,CA,Escondido,San Diego,"21,270","1,745,756,787","76,733,004"
500,2022,92026,CA,Escondido,San Diego,"24,492","2,064,973,868","76,742,545"
501,2022,92027,CA,Escondido,San Diego,"24,946","1,739,827,926","54,986,584"
502,2022,92028,CA,Fallbrook,San Diego,"23,364","2,044,155,674","83,713,953"
503,2022,92029,CA,Escondido,San Diego,"10,038","1,430,833,918","68,381,737"
504,2022,92030,CA,Escondido,San Diego,423,"24,429,273","698,262"
505,2022,92033,CA,Escondido,San Diego,465,"29,597,048","891,350"
506,2022,92036,CA,Julian,San Diego,"1,617","120,864,035","4,546,414"
507,2022,92037,CA,La Jolla,San Diego,"19,003","6,430,789,034","434,431,056"
508,2022,92038,CA,La Jolla,San Diego,615,"165,860,984","11,523,975"
509,2022,92039,CA,La Jolla,San Diego,168,"21,401,660","981,753"
510,2022,92040,CA,Lakeside,San Diego,"19,628","1,532,315,653","52,264,367"
511,2022,92046,CA,Escondido,San Diego,479,"40,561,417","1,693,778"
512,2022,92049,CA,Oceanside,San Diego,167,"12,168,684","407,451"
513,2022,92051,CA,Oceanside,San Diego,411,"21,557,267","504,300"
514,2022,92052,CA,Oceanside,San Diego,507,"33,228,535","1,150,868"
515,2022,92054,CA,Oceanside,San Diego,"18,036","1,426,843,561","57,298,706"
516,2022,92055,CA,Camp Pendleton,San Diego,422,"10,167,547","70,874"
517,2022,92056,CA,Oceanside,San Diego,"26,272","1,214,130,522","85,733,908"
518,2022,92057,CA,Oceanside,San Diego,"26,816","2,051,805,089","70,801,199"
519,2022,92058,CA,Oceanside,San Diego,"13,638","792,245,106","20,589,215"
520,2022,92059,CA,Pala,San Diego,810,"39,104,332","1,292,376"
