index,ZIP,County,ZIP Code Population,EV Count in Zip,ZEV Sales in County,County Population
512,91784,san bernardino,26900.0,1775.0,16021,"2,195,611"
513,91785,san bernardino,,5.0,16021,"2,195,611"
514,91786,san bernardino,55519.0,1336.0,16021,"2,195,611"
515,91786,los angeles,55519.0,1336.0,125196,"9,663,345"
516,91788,los angeles,,23.0,125196,"9,663,345"
517,91789,los angeles,40933.0,3792.0,125196,"9,663,345"
518,91790,los angeles,44791.0,1475.0,125196,"9,663,345"
519,91791,los angeles,33321.0,1699.0,125196,"9,663,345"
520,91792,los angeles,30921.0,980.0,125196,"9,663,345"
521,91793,los angeles,,11.0,125196,"9,663,345"
522,91801,los angeles,53730.0,1970.0,125196,"9,663,345"
523,91802,los angeles,,41.0,125196,"9,663,345"
524,91803,los angeles,27803.0,1229.0,125196,"9,663,345"
525,91804,los angeles,,1.0,125196,"9,663,345"
526,91896,los angeles,,,125196,"9,663,345"
527,91899,los angeles,,,125196,"9,663,345"
528,91901,san diego,18300.0,482.0,38474,"3,269,973"
529,91902,san diego,17445.0,731.0,38474,"3,269,973"
530,91903,san diego,,6.0,38474,"3,269,973"
531,91905,san diego,1466.0,16.0,38474,"3,269,973"
532,91906,san diego,3375.0,53.0,38474,"3,269,973"
533,91908,san diego,,2.0,38474,"3,269,973"
535,91910,san diego,77957.0,1669.0,38474,"3,269,973"
536,91911,san diego,84619.0,1206.0,38474,"3,269,973"
537,91912,san diego,,14.0,38474,"3,269,973"
538,91913,san diego,57067.0,2904.0,38474,"3,269,973"
539,91914,san diego,17036.0,1099.0,38474,"3,269,973"
540,91915,san diego,35385.0,1748.0,38474,"3,269,973"
541,91916,san diego,1757.0,43.0,38474,"3,269,973"
542,91917,san diego,889.0,23.0,38474,"3,269,973"
543,91921,san diego,,20.0,38474,"3,269,973"
544,91931,san diego,735.0,7.0,38474,"3,269,973"
545,91932,san diego,25897.0,346.0,38474,"3,269,973"
546,91933,san diego,,2.0,38474,"3,269,973"
547,91934,san diego,1265.0,12.0,38474,"3,269,973"
548,91935,san diego,9466.0,409.0,38474,"3,269,973"
549,91941,san diego,33706.0,1352.0,38474,"3,269,973"
550,91942,san diego,40920.0,1007.0,38474,"3,269,973"
551,91943,san diego,,3.0,38474,"3,269,973"
552,91944,san diego,,6.0,38474,"3,269,973"
553,91945,san diego,27531.0,496.0,38474,"3,269,973"
554,91946,san diego,,1.0,38474,"3,269,973"
555,91948,san diego,123.0,3.0,38474,"3,269,973"
556,91950,san diego,57173.0,575.0,38474,"3,269,973"
557,91951,san diego,,4.0,38474,"3,269,973"
558,91962,san diego,2457.0,56.0,38474,"3,269,973"
559,91963,san diego,617.0,9.0,38474,"3,269,973"
560,91976,san diego,,2.0,38474,"3,269,973"
561,91977,san diego,62957.0,1133.0,38474,"3,269,973"
562,91978,san diego,10511.0,325.0,38474,"3,269,973"
563,91979,san diego,,3.0,38474,"3,269,973"
564,91980,san diego,157.0,8.0,38474,"3,269,973"
565,92003,san diego,4978.0,298.0,38474,"3,269,973"
566,92004,san diego,3030.0,55.0,38474,"3,269,973"
567,92007,san diego,11764.0,749.0,38474,"3,269,973"
568,92008,san diego,27707.0,1557.0,38474,"3,269,973"
569,92009,san diego,45778.0,3772.0,38474,"3,269,973"
570,92010,san diego,17300.0,1253.0,38474,"3,269,973"
571,92011,san diego,23715.0,1898.0,38474,"3,269,973"
572,92013,san diego,,22.0,38474,"3,269,973"
573,92014,san diego,13260.0,1669.0,38474,"3,269,973"
574,92018,san diego,,24.0,38474,"3,269,973"
575,92019,san diego,45801.0,1426.0,38474,"3,269,973"
576,92020,san diego,58490.0,1285.0,38474,"3,269,973"
577,92021,san diego,69306.0,1065.0,38474,"3,269,973"
578,92022,san diego,,7.0,38474,"3,269,973"
579,92023,san diego,,24.0,38474,"3,269,973"
580,92024,san diego,50030.0,3968.0,38474,"3,269,973"
581,92025,san diego,50046.0,1310.0,38474,"3,269,973"
582,92026,san diego,53041.0,1773.0,38474,"3,269,973"
583,92027,san diego,55232.0,1343.0,38474,"3,269,973"
584,92028,san diego,50905.0,1952.0,38474,"3,269,973"
585,92028,riverside,50905.0,1952.0,19919,"2,492,442"
586,92029,san diego,20296.0,1363.0,38474,"3,269,973"
587,92030,san diego,,10.0,38474,"3,269,973"
588,92033,san diego,,5.0,38474,"3,269,973"
589,92036,san diego,3128.0,86.0,38474,"3,269,973"
590,92037,san diego,39284.0,3465.0,38474,"3,269,973"
591,92038,san diego,,28.0,38474,"3,269,973"
592,92039,san diego,,9.0,38474,"3,269,973"
593,92040,san diego,45978.0,772.0,38474,"3,269,973"
594,92046,san diego,,15.0,38474,"3,269,973"
595,92049,san diego,,5.0,38474,"3,269,973"
596,92051,san diego,,4.0,38474,"3,269,973"
597,92052,san diego,,15.0,38474,"3,269,973"
598,92054,san diego,37546.0,1037.0,38474,"3,269,973"
599,92055,san diego,11181.0,10.0,38474,"3,269,973"
600,92056,san diego,53265.0,1947.0,38474,"3,269,973"
601,92057,san diego,57994.0,1885.0,38474,"3,269,973"
602,92058,san diego,49189.0,730.0,38474,"3,269,973"
603,92059,san diego,1449.0,35.0,38474,"3,269,973"
604,92060,san diego,591.0,13.0,38474,"3,269,973"
605,92061,san diego,1693.0,75.0,38474,"3,269,973"
606,92064,san diego,48555.0,2995.0,38474,"3,269,973"
607,92065,san diego,37397.0,981.0,38474,"3,269,973"
608,92066,san diego,314.0,4.0,38474,"3,269,973"
609,92067,san diego,8245.0,1561.0,38474,"3,269,973"
610,92068,san diego,,7.0,38474,"3,269,973"
611,92069,san diego,46825.0,1693.0,38474,"3,269,973"
612,92070,san diego,749.0,16.0,38474,"3,269,973"
613,92071,san diego,59739.0,1607.0,38474,"3,269,973"
614,92072,san diego,,3.0,38474,"3,269,973"
615,92074,san diego,,7.0,38474,"3,269,973"
616,92075,san diego,11996.0,1081.0,38474,"3,269,973"
617,92078,san diego,53542.0,3117.0,38474,"3,269,973"
618,92079,san diego,,10.0,38474,"3,269,973"
619,92081,san diego,29596.0,1128.0,38474,"3,269,973"
620,92082,san diego,20596.0,808.0,38474,"3,269,973"
621,92083,san diego,37957.0,673.0,38474,"3,269,973"
622,92084,san diego,49533.0,1252.0,38474,"3,269,973"
623,92085,san diego,,5.0,38474,"3,269,973"
624,92086,san diego,1410.0,26.0,38474,"3,269,973"
625,92088,san diego,,10.0,38474,"3,269,973"
626,92091,san diego,1215.0,226.0,38474,"3,269,973"
627,92092,san diego,985.0,50.0,38474,"3,269,973"
628,92093,san diego,4090.0,55.0,38474,"3,269,973"
629,92096,san diego,0.0,,38474,"3,269,973"
630,92101,san diego,48163.0,3777.0,38474,"3,269,973"
631,92102,san diego,39001.0,626.0,38474,"3,269,973"
632,92103,san diego,34817.0,2000.0,38474,"3,269,973"
633,92104,san diego,46912.0,2132.0,38474,"3,269,973"
634,92105,san diego,71284.0,1158.0,38474,"3,269,973"
635,92106,san diego,20863.0,1070.0,38474,"3,269,973"
636,92107,san diego,29789.0,1018.0,38474,"3,269,973"
637,92108,san diego,24401.0,1323.0,38474,"3,269,973"
638,92109,san diego,44456.0,1724.0,38474,"3,269,973"
639,92110,san diego,31186.0,964.0,38474,"3,269,973"
640,92111,san diego,45888.0,1620.0,38474,"3,269,973"
641,92112,san diego,,11.0,38474,"3,269,973"
642,92113,san diego,49047.0,321.0,38474,"3,269,973"
643,92114,san diego,64820.0,1034.0,38474,"3,269,973"
644,92115,san diego,64011.0,1368.0,38474,"3,269,973"
645,92116,san diego,31484.0,1238.0,38474,"3,269,973"
646,92117,san diego,52645.0,2009.0,38474,"3,269,973"
647,92118,san diego,18495.0,935.0,38474,"3,269,973"
648,92119,san diego,24868.0,861.0,38474,"3,269,973"
649,92120,san diego,31797.0,1515.0,38474,"3,269,973"
650,92121,san diego,4157.0,558.0,38474,"3,269,973"
651,92122,san diego,45437.0,2241.0,38474,"3,269,973"
652,92123,san diego,32999.0,1456.0,38474,"3,269,973"
653,92124,san diego,31032.0,1288.0,38474,"3,269,973"
654,92126,san diego,77239.0,3461.0,38474,"3,269,973"
655,92127,san diego,50711.0,5410.0,38474,"3,269,973"
656,92128,san diego,48492.0,2992.0,38474,"3,269,973"
657,92129,san diego,53080.0,4049.0,38474,"3,269,973"
658,92130,san diego,59768.0,7212.0,38474,"3,269,973"
659,92131,san diego,35831.0,3358.0,38474,"3,269,973"
660,92132,san diego,0.0,,38474,"3,269,973"
661,92134,san diego,295.0,2.0,38474,"3,269,973"
662,92135,san diego,1013.0,1.0,38474,"3,269,973"
663,92136,san diego,8774.0,7.0,38474,"3,269,973"
664,92137,san diego,,6.0,38474,"3,269,973"
665,92138,san diego,,10.0,38474,"3,269,973"
666,92139,san diego,34780.0,541.0,38474,"3,269,973"
667,92140,san diego,2490.0,,38474,"3,269,973"
668,92142,san diego,,4.0,38474,"3,269,973"
669,92143,san diego,,7.0,38474,"3,269,973"
670,92145,san diego,2583.0,5.0,38474,"3,269,973"
671,92147,san diego,172.0,,38474,"3,269,973"
672,92149,san diego,,1.0,38474,"3,269,973"
673,92150,san diego,,22.0,38474,"3,269,973"
674,92152,san diego,,,38474,"3,269,973"
675,92153,san diego,,8.0,38474,"3,269,973"
676,92154,san diego,82832.0,1621.0,38474,"3,269,973"
677,92155,san diego,141.0,1.0,38474,"3,269,973"
678,92158,san diego,,,38474,"3,269,973"
679,92159,san diego,,1.0,38474,"3,269,973"
680,92160,san diego,,6.0,38474,"3,269,973"
681,92161,san diego,24.0,,38474,"3,269,973"
682,92163,san diego,,15.0,38474,"3,269,973"
683,92165,san diego,,6.0,38474,"3,269,973"
684,92166,san diego,,8.0,38474,"3,269,973"
685,92167,san diego,,8.0,38474,"3,269,973"
686,92168,san diego,,7.0,38474,"3,269,973"
687,92169,san diego,,13.0,38474,"3,269,973"
688,92170,san diego,,4.0,38474,"3,269,973"
689,92171,san diego,,1.0,38474,"3,269,973"
690,92172,san diego,,17.0,38474,"3,269,973"
691,92173,san diego,26507.0,333.0,38474,"3,269,973"
692,92174,san diego,,,38474,"3,269,973"
693,92175,san diego,,1.0,38474,"3,269,973"
694,92176,san diego,,10.0,38474,"3,269,973"
695,92177,san diego,,5.0,38474,"3,269,973"
696,92178,san diego,,13.0,38474,"3,269,973"
697,92179,san diego,3034.0,,38474,"3,269,973"
698,92182,san diego,0.0,1.0,38474,"3,269,973"
700,92191,san diego,,7.0,38474,"3,269,973"
701,92192,san diego,,17.0,38474,"3,269,973"
702,92193,san diego,,5.0,38474,"3,269,973"
703,92195,san diego,,7.0,38474,"3,269,973"
704,92196,san diego,,9.0,38474,"3,269,973"
705,92197,san diego,,,38474,"3,269,973"
706,92198,san diego,,12.0,38474,"3,269,973"
707,92199,san diego,,1.0,38474,"3,269,973"
708,92201,riverside,66364.0,666.0,19919,"2,492,442"
709,92202,riverside,,6.0,19919,"2,492,442"
710,92203,riverside,33381.0,994.0,19919,"2,492,442"
711,92210,riverside,4830.0,348.0,19919,"2,492,442"
712,92211,riverside,27375.0,1144.0,19919,"2,492,442"
713,92220,riverside,33428.0,476.0,19919,"2,492,442"
714,92222,imperial,0.0,,429,"179,057"
715,92223,riverside,62797.0,1896.0,19919,"2,492,442"
716,92223,san bernardino,62797.0,1896.0,16021,"2,195,611"
717,92225,riverside,21101.0,75.0,19919,"2,492,442"
718,92225,imperial,21101.0,75.0,429,"179,057"
719,92225,san bernardino,21101.0,75.0,16021,"2,195,611"
720,92226,riverside,,4.0,19919,"2,492,442"
721,92227,imperial,28147.0,133.0,429,"179,057"
722,92230,riverside,2105.0,16.0,19919,"2,492,442"
723,92231,imperial,38547.0,278.0,429,"179,057"
724,92232,imperial,,8.0,429,"179,057"
725,92233,imperial,6837.0,9.0,429,"179,057"
726,92234,riverside,52047.0,1125.0,19919,"2,492,442"
727,92235,riverside,,6.0,19919,"2,492,442"
728,92236,riverside,42884.0,202.0,19919,"2,492,442"
729,92239,riverside,167.0,1.0,19919,"2,492,442"
730,92240,riverside,40918.0,404.0,19919,"2,492,442"
731,92241,riverside,8624.0,101.0,19919,"2,492,442"
732,92242,san bernardino,1203.0,4.0,16021,"2,195,611"
733,92243,imperial,48556.0,351.0,429,"179,057"
734,92244,imperial,,7.0,429,"179,057"
735,92247,riverside,,11.0,19919,"2,492,442"
736,92248,riverside,,11.0,19919,"2,492,442"
737,92249,imperial,7308.0,51.0,429,"179,057"
738,92250,imperial,7854.0,27.0,429,"179,057"
739,92251,imperial,27197.0,258.0,429,"179,057"
740,92252,san bernardino,7916.0,120.0,16021,"2,195,611"
741,92253,riverside,38281.0,1345.0,19919,"2,492,442"
742,92254,riverside,10779.0,35.0,19919,"2,492,442"
743,92255,riverside,,13.0,19919,"2,492,442"
744,92256,san bernardino,3907.0,54.0,16021,"2,195,611"
745,92257,imperial,2185.0,11.0,429,"179,057"
746,92258,riverside,508.0,7.0,19919,"2,492,442"
747,92259,imperial,237.0,2.0,429,"179,057"
748,92260,riverside,30751.0,981.0,19919,"2,492,442"
749,92261,riverside,,12.0,19919,"2,492,442"
