Data Year,Quarter,COUNTY,Total LDV Sales,ZEV Sales,ZEV Sales Share
2023,Q1,Stanislaus,3510,396,0.112820512820512
2023,Q1,Sutter,698,72,0.103151862464183
2023,Q1,Tehama,293,17,0.0580204778156996
2023,Q1,Trinity,52,5,0.0961538461538461
2023,Q1,Tulare,2830,183,0.0646643109540636
2023,Q1,Tuolumne,331,47,0.141993957703927
2023,Q1,Ventura,8886,1965,0.221134368669817
2023,Q1,Yolo,1588,366,0.230478589420654
2023,Q1,Yuba,451,41,0.0909090909090909
2023,Q2,Alameda,16586,6524,0.393343783914144
2023,Q2,Alpine,7,0,0.0
2023,Q2,Amador,260,32,0.123076923076923
2023,Q2,Butte,1261,151,0.119746233148295
2023,Q2,Calaveras,347,37,0.106628242074927
2023,Q2,Colusa,148,8,0.054054054054054
2023,Q2,Contra Costa,12434,4186,0.336657551873894
2023,Q2,Del Norte,126,11,0.0873015873015873
2023,Q2,El Dorado,1819,396,0.217702034084661
2023,Q2,Fresno,7298,1074,0.147163606467525
