Data Year,Fuel Type,ZIP,Number of Vehicles
2023,Battery Electric (BEV),92067,1286
2023,Battery Electric (BEV),92068,4
2023,Battery Electric (BEV),92069,1267
2023,Battery Electric (BEV),92070,11
2023,Battery Electric (BEV),92071,1182
2023,Battery Electric (BEV),92072,2
2023,Battery Electric (BEV),92074,7
2023,Battery Electric (BEV),92075,820
2023,Battery Electric (BEV),92078,2388
2023,Battery Electric (BEV),92079,5
2023,Battery Electric (BEV),92081,798
2023,Battery Electric (BEV),92082,577
2023,Battery Electric (BEV),92083,470
2023,Battery Electric (BEV),92084,862
2023,Battery Electric (BEV),92085,2
2023,Battery Electric (BEV),92086,14
2023,Battery Electric (BEV),92088,8
2023,Battery Electric (BEV),92091,193
2023,Battery Electric (BEV),92092,40
2023,Battery Electric (BEV),92093,46
2023,Battery Electric (BEV),92101,3122
2023,Battery Electric (BEV),92102,422
2023,Battery Electric (BEV),92103,1457
2023,Battery Electric (BEV),92104,1706
2023,Battery Electric (BEV),92105,769
2023,Battery Electric (BEV),92106,795
2023,Battery Electric (BEV),92107,704
2023,Battery Electric (BEV),92108,1029
2023,Battery Electric (BEV),92109,1244
2023,Battery Electric (BEV),92110,684
2023,Battery Electric (BEV),92111,1132
2023,Battery Electric (BEV),92112,9
2023,Battery Electric (BEV),92113,237
2023,Battery Electric (BEV),92114,783
2023,Battery Electric (BEV),92115,989
2023,Battery Electric (BEV),92116,913
2023,Battery Electric (BEV),92117,1472
2023,Battery Electric (BEV),92118,712
2023,Battery Electric (BEV),92119,626
2023,Battery Electric (BEV),92120,1096
2023,Battery Electric (BEV),92121,449
2023,Battery Electric (BEV),92122,1701
2023,Battery Electric (BEV),92123,1026
2023,Battery Electric (BEV),92124,954
2023,Battery Electric (BEV),92126,2770
2023,Battery Electric (BEV),92127,4499
2023,Battery Electric (BEV),92128,2329
2023,Battery Electric (BEV),92129,3147
2023,Battery Electric (BEV),92130,5937
2023,Battery Electric (BEV),92131,2672
2023,Battery Electric (BEV),92134,2
2023,Battery Electric (BEV),92136,4
2023,Battery Electric (BEV),92137,3
2023,Battery Electric (BEV),92138,9
2023,Battery Electric (BEV),92139,400
2023,Battery Electric (BEV),92142,2
2023,Battery Electric (BEV),92143,4
2023,Battery Electric (BEV),92145,4
2023,Battery Electric (BEV),92149,1
2023,Battery Electric (BEV),92150,14
2023,Battery Electric (BEV),92153,3
2023,Battery Electric (BEV),92154,1153
2023,Battery Electric (BEV),92159,1
2023,Battery Electric (BEV),92160,5
2023,Battery Electric (BEV),92163,11
2023,Battery Electric (BEV),92165,2
2023,Battery Electric (BEV),92166,8
2023,Battery Electric (BEV),92167,5
2023,Battery Electric (BEV),92168,5
2023,Battery Electric (BEV),92169,8
2023,Battery Electric (BEV),92170,1
2023,Battery Electric (BEV),92172,12
2023,Battery Electric (BEV),92173,201
2023,Battery Electric (BEV),92176,7
2023,Battery Electric (BEV),92177,3
2023,Battery Electric (BEV),92178,7
2023,Battery Electric (BEV),92182,1
2023,Battery Electric (BEV),92186,1
2023,Battery Electric (BEV),92191,3
2023,Battery Electric (BEV),92192,14
2023,Battery Electric (BEV),92193,3
2023,Battery Electric (BEV),92195,5
2023,Battery Electric (BEV),92196,6
2023,Battery Electric (BEV),92198,8
2023,Battery Electric (BEV),92199,1
2023,Battery Electric (BEV),92201,435
2023,Battery Electric (BEV),92202,3
2023,Battery Electric (BEV),92203,697
2023,Battery Electric (BEV),92210,261
2023,Battery Electric (BEV),92211,805
2023,Battery Electric (BEV),92220,318
2023,Battery Electric (BEV),92223,1385
2023,Battery Electric (BEV),92225,44
2023,Battery Electric (BEV),92226,2
2023,Battery Electric (BEV),92227,78
2023,Battery Electric (BEV),92230,10
2023,Battery Electric (BEV),92231,163
2023,Battery Electric (BEV),92232,4
2023,Battery Electric (BEV),92233,3
2023,Battery Electric (BEV),92234,774
2023,Battery Electric (BEV),92235,6
2023,Battery Electric (BEV),92236,132
2023,Battery Electric (BEV),92239,1
2023,Battery Electric (BEV),92240,257
2023,Battery Electric (BEV),92241,52
2023,Battery Electric (BEV),92242,2
2023,Battery Electric (BEV),92243,217
2023,Battery Electric (BEV),92244,6
2023,Battery Electric (BEV),92247,7
2023,Battery Electric (BEV),92248,9
2023,Battery Electric (BEV),92249,26
2023,Battery Electric (BEV),92250,12
2023,Battery Electric (BEV),92251,166
2023,Battery Electric (BEV),92252,75
2023,Battery Electric (BEV),92253,999
2023,Battery Electric (BEV),92254,23
2023,Battery Electric (BEV),92255,6
2023,Battery Electric (BEV),92256,33
2023,Battery Electric (BEV),92257,4
2023,Battery Electric (BEV),92258,6
2023,Battery Electric (BEV),92260,698
2023,Battery Electric (BEV),92261,6
2023,Battery Electric (BEV),92262,1051
2023,Battery Electric (BEV),92263,18
2023,Battery Electric (BEV),92264,805
2023,Battery Electric (BEV),92268,11
2023,Battery Electric (BEV),92270,1145
2023,Battery Electric (BEV),92273,1
2023,Battery Electric (BEV),92274,34
2023,Battery Electric (BEV),92275,3
2023,Battery Electric (BEV),92276,79
2023,Battery Electric (BEV),92277,110
2023,Battery Electric (BEV),92278,1
2023,Battery Electric (BEV),92282,14
2023,Battery Electric (BEV),92283,2
2023,Battery Electric (BEV),92284,208
2023,Battery Electric (BEV),92285,11
2023,Battery Electric (BEV),92286,5
2023,Battery Electric (BEV),92301,183
2023,Battery Electric (BEV),92305,2
2023,Battery Electric (BEV),92307,391
2023,Battery Electric (BEV),92308,372
2023,Battery Electric (BEV),92310,44
2023,Battery Electric (BEV),92311,110
2023,Battery Electric (BEV),92312,2
2023,Battery Electric (BEV),92313,160
2023,Battery Electric (BEV),92314,57
2023,Battery Electric (BEV),92315,50
2023,Battery Electric (BEV),92316,158
2023,Battery Electric (BEV),92317,40
2023,Battery Electric (BEV),92318,1
2023,Battery Electric (BEV),92320,228
2023,Battery Electric (BEV),92321,7
2023,Battery Electric (BEV),92322,7
2023,Battery Electric (BEV),92324,436
2023,Battery Electric (BEV),92325,75
2023,Battery Electric (BEV),92329,12
2023,Battery Electric (BEV),92331,17
2023,Battery Electric (BEV),92333,9
2023,Battery Electric (BEV),92334,1
2023,Battery Electric (BEV),92335,478
2023,Battery Electric (BEV),92336,3047
2023,Battery Electric (BEV),92337,445
2023,Battery Electric (BEV),92339,10
2023,Battery Electric (BEV),92340,2
2023,Battery Electric (BEV),92341,3
2023,Battery Electric (BEV),92342,71
2023,Battery Electric (BEV),92344,289
2023,Battery Electric (BEV),92345,475
